[Chest ID's]
1 = casket#5
3 = casket#6
4 = Urn#1
5 = largechestRight
6 = largechestLeft
7 = barrel7
8 = towertome
9 = Urn#2
11 = explodingbarrel
46 = Crate
50 = CasketR
51 = CasketL
52 = urn#3
53 = Casket
54 = Roguecorpse1
55 = Roguecorpse2
56 = rollingroguecorpse
57 = rogueonastick1
58 = rogueonastick2
79 = casket#3
80 = obelisk
81 = forestaltar
87 = tombchest1,largechestL
88 = tombchest2largechestR
89 = mummycoffinL,tomb
92 = tombdoorright
94 = Urn#4
95 = Urn#5
104 = ArmorStand1R
105 = ArmorStand2L
106 = WeaponRack1R
107 = WeaponRack2L
126 = skullpileinnerhell
127 = ihobject5innerhell
139 = chestrlargeact1
140 = chestrtallskinneyact1
141 = chestrmedact1
142 = jug1act2,desert
143 = jug2act2,desert
144 = Lchest1act1
146 = dchest2Ract2,desert,tomb,chestrmed
147 = dchestract2,desert,tomb,chestrlarge
148 = dchestLact2,desert,tombchestllarge
154 = guardcorpse
155 = rockact1wilderness
158 = corpse
159 = rockbact1wilderness
169 = log
171 = corpseb
174 = rockcact1wilderness
175 = rockdact1wilderness
176 = chestLmed
177 = chestLlarge
178 = guardonastick,desert,tomb,harom
179 = bookshelf1
180 = bookshelf2
181 = junglechestact3
182 = tombcoffin
183 = chestLmed,jungle
198 = chestLtallskinney,generalchestr?
208 = basket1
209 = basket2
223 = cacoon
224 = cacoon2
240 = gchest1Lgeneral
241 = gchest2Rgeneral
242 = gchest3Rgeneral
243 = glchest3Lgeneral
244 = ratnestsewers
246 = ratnestsewers
247 = bedact1
248 = bedact1
266 = goopileforsandmaggotlair
268 = wirt'sbody
274 = tinypixelshapedthingie
284 = anubiscoffin,act2,tomb
329 = mafistochestlargeLeft
330 = mafistochestlargeright
331 = mafistochestmedleft
332 = mafistochestmedright
333 = spiderlairchestlargeLeft
334 = spiderlairchesttallLeft
335 = spiderlairchestmedright
336 = spiderlairchesttallright
339 = trophy
354 = horadriccubechest
355 = horadricscrollchest
356 = staffofkingschest
360 = RockPiledungeon
362 = baskedungeon
365 = casketforAct3dungeon
371 = LargeChestR
372 = innerhellbonepile
380 = Burningguyforouterhell
381 = Burningguyforouterhell
383 = guystuckinhell
384 = guystuckinhell
387 = arcanesanctuarybigchestLeft
388 = arcanesanctuarycasket
389 = arcanesanctuarybigchestRight
390 = arcanesanctuarychestsmallLeft
391 = arcanesanctuarychestsmallRight
397 = sparklychest
405 = khalimchest
406 = khalimchest
407 = khalimchest
413 = chestR
416 = hiddenstash
418 = barrelwilderness
419 = barrelwilderness
420 = woodchestL
424 = burialchestL
425 = burialchestR
430 = ChestL
431 = woodchestR
432 = ChestSL
433 = ChestSR
443 = jar1
444 = jar2
445 = jar3
446 = swingingheads
447 = pole
448 = animatedskullandrockpile
450 = pileofskullsandrocks
454 = explodingchest
455 = specialchest
456 = deathpole
457 = Ldeathpole
463 = hiddenstashicecave
464 = healthshrineicecave
466 = evilurnicecave
467 = icecavejar1
468 = icecavejar2
469 = icecavejar3
470 = icecavejar4
471 = icecavejar4
501 = woodchestLsnowy
502 = woodchestRsnowy
504 = woodchest2Lsnowy
505 = woodchest2Rsnowy
540 = deadperson
545 = deadperson2
548 = eweaponrackR
549 = eweaponrackL
550 = earmorstandR
551 = earmorstandL
553 = funeralpire
556 = deadperson2

